"ytid","split"
"-0Gj8-vB1q4","train"
"-0SdAVK79lg","val"
"-0vPFx-wRRI","val"
"-1LrH01Ei1w","train"
"-1OlgJWehn8","train"
"-1UWSisR2zo","val"
"-3Kv4fdm7Uk","test"
"-4NLarMj4xU","train"
"-4SYC2YgzL8","train"
"-5FoeegAgvU","train"
"-5f6hjZf9Yw","train"
"-5xOcMJpTUk","train"
"-6HBGg1cAI0","val"
"-6QGvxvaTkI","train"
"-6pcgdLfb_A","train"
"-7B9tPuIP-w","train"
"-7wUQP6G5EQ","val"
"-88me9bBzrk","train"
"-8C-gydUbR8","test"
"-8cgbhIR_pw","test"
"-BHPu-dPmWQ","val"
"-BIMKnb3tlo","train"
"-Bu7YaslRW0","test"
"-ByoSbgzr4M","train"
"-CUp_Tmg2Y0","val"
"-DeAdhYKbGE","train"
"-Dtir74TiUM","train"
"-EVRXQpt1-8","val"
"-FEPOSP7ay0","train"
"-FFx68qSAuY","test"
"-Gf4Ihv1zwc","train"
"-IZbvEO9wzU","train"
"-JVWfFPBl84","val"
"-JvB5AL59fM","train"
"-M-6VinyMiY","val"
"-M6K3QoHh40","train"
"-NmjCyqIavI","train"
"-O9mnfC61Ac","train"
"-OAyRsvFGgc","test"
"-OUIEnuNd1I","train"
"-Q9MTRXS4bE","train"
"-R0267o4lLk","train"
"-RYtUAsNhF0","train"
"-SD43H5B5hE","train"
"-SWaCArvQug","train"
"-T4GeTHKtJQ","train"
"-U16iKiXGuY","val"
"-Umconw-CRE","test"
"-UuEBhule84","train"
"-VI2IRq17rs","train"
"-VclCul6FrI","test"
"-Vo4CAMX26U","val"
"-W5c6CeUMPE","train"
"-WvVG0wHcTc","test"
"-XN0NtrnfMY","train"
"-XkbErI_7EU","train"
"-YATTKBtmRA","test"
"-YIT4HBM__g","train"
"-ZHpNr_KRXU","train"
"-_6RxZyi30Q","train"
"-_OzT7Xyvok","train"
"-bgHkxwoliw","val"
"-cLzki-B06o","train"
"-cQ-jUTEgck","train"
"-dVgUSrR8g4","train"
"-e4wXAy1iVo","train"
"-eDAoheZrY8","train"
"-f1DNyngKVY","train"
"-f6s6kQEHFY","test"
"-fxh7jAJR8U","train"
"-hSMzrWZCAE","test"
"-hYRFCQdbLg","val"
"-i9gpG3vPwA","train"
"-i9uQMysy_A","train"
"-jpbCWcz2pk","train"
"-lPXTBXa0tE","train"
"-m5ZlWziIeA","train"
"-m9pH0WXQto","train"
"-mA_bqD1tgU","test"
"-mB_XLq6g1g","val"
"-nlkWWphiaM","train"
"-o0ZtQIkM60","val"
"-oP-XX28B0s","test"
"-pUfYFcsgG4","test"
"-qcTD2o6I9s","train"
"-r2-9oyIzkQ","train"
"-r7iz-9v9bA","train"
"-rAhS48FkYw","test"
"-sRFfU8k0Zs","train"
"-tKZOl4q1Kw","train"
"-taO6N-rxv4","test"
"-tmY1GEH3_Y","train"
"-uaTK8sa5Ms","train"
"-v5hgCh3M2w","test"
"-w12aSkQ9No","train"
"-w4HLksto_k","train"
"-w8maIWtnUk","train"
"-wVWjl9Kq6U","train"
"-wymN80CiYU","train"
"-zA6LL78KYU","train"
"-zOybsEdM5E","train"
"0-7PyzhzuYQ","test"
"01PzcPKT3_E","test"
"01hjVJN9xCg","train"
"0298WjE3_tk","val"
"02Qntw26enM","train"
"03z0rpIkm5g","train"
"04NjXsLyCl4","train"
"05JAmKFVy44","train"
"05OJDYeHLMc","train"
"06Brdf83RZE","val"
"06IU9WsEp3s","val"
"07-3grCQ8EU","train"
"07-vpXo91XM","train"
"07FxCXxknY4","train"
"07mS0mSTDjY","train"
"07xGXxIHOL4","train"
"08mf5GxT820","train"
"08u-jdwjM74","val"
"09lQmg2wvsY","train"
"0ADP-O_V3vA","train"
"0AGHo8V8HpM","val"
"0AhX-ReXovI","train"
"0BFauf6TGGU","train"
"0DYH0sqDXB8","train"
"0DizopdPMBw","train"
"0EOQco76eXQ","train"
"0EvpBtracsk","val"
"0EzWmAPwoTs","train"
"0F-Z0zF1504","train"
"0Gxn9FtaJFc","train"
"0H3FAoDgzhI","train"
"0HXYdGGKV2k","test"
"0ISHZQJdeSw","train"
"0J_TdiZ3TKA","train"
"0JbGxIR8JTk","train"
"0K-zyeLuKho","train"
"0L2ndtt60Q8","test"
"0L3vcdzQPPU","train"
"0LE6Ll1rVlg","train"
"0M7nETLOsKQ","train"
"0MzrXd8CUCg","train"
"0NTzOtVmoiU","train"
"0NZY0GHQBP0","train"
"0ONdm4sW47c","train"
"0OY8XXZ98rw","train"
"0OYlHvyfNk4","train"
"0OhtODbKajw","test"
"0Olm321vgk8","train"
"0PMFAO4TIU4","train"
"0Q1JLNfm8oU","train"
"0QAaln-hjPw","train"
"0QYNC7J05XI","train"
"0RDz0rLakwc","train"
"0RgGrVklaao","test"
"0RpkkfkUBRU","train"
"0S5zWt91Bwo","train"
"0SNhAKyXtC8","train"
"0SnjS2w_c80","train"
"0TV9zvfwFhs","train"
"0TiEO149Ydc","val"
"0Ubu4BqSWmU","train"
"0VwX92X3iPc","train"
"0Wdh45yt7tY","train"
"0XxinBtKouQ","train"
"0ZNFJz-eZTU","train"
"0ZXWSO_Y2C0","train"
"0_QcatLmg7c","train"
"0_XItMAYkwc","train"
"0_hH79HnEdo","train"
"0a6uLBmqZgA","val"
"0a91szM1Ivw","test"
"0abzD7hBTRk","train"
"0bP2MH3LqvI","train"
"0bRUkLsttto","train"
"0bvPjMQ_WbE","train"
"0c1YU_VtFRE","train"
"0cNYPgD6cEA","test"
"0dPx94RPy2M","train"
"0ewQiU3q5jM","train"
"0ewWspUqB6Y","test"
"0fCpAuxrQ_I","test"
"0fiOM---7QI","train"
"0fqtA_ZBn_8","train"
"0hfU27A6tus","train"
"0hw_BB4QN34","test"
"0jFQ21A6GRA","test"
"0kQD1P0_KUs","train"
"0kQjfwXjFuY","test"
"0lIETNZ_7sg","val"
"0m9-5BkL4Mc","train"
"0nNmbkU8GBI","train"
"0nk7utNkHOY","train"
"0oIFGARD9xE","train"
"0pewITE1550","test"
"0q-80dzp6PU","test"
"0qtbbK5HVMw","train"
"0rNr_qnoPQ4","train"
"0s0Uy0-zBa0","test"
"0sPVAP17w2U","val"
"0soVCtJgDTk","train"
"0trWdhSvab4","val"
"0u1sk49gAU0","train"
"0u4gY1bBUwQ","test"
"0u5-WiBKam8","train"
"0vFPs6XsU_Q","val"
"0wYi8B9PXDY","train"
"0wzsE67O5tE","train"
"0x6chChxzV0","val"
"0zolXzR9Oi4","train"
"1-Y9kafYuqQ","train"
"10dur7jhFQM","train"
"11D0JdB7_4k","train"
"11FeId69WOk","train"
"11fNNN95_og","test"
"13n6n6nKMhI","val"
"14hTDUjCr_g","train"
"15CZ2h5VL-A","val"
"15Mw2jyyHk0","test"
"15z-gbPxdXg","train"
"16F5fdORzSo","train"
"16TsDMjHzYU","train"
"17AtKbQ7glU","test"
"18mS4cLPOb8","train"
"19-GI2LzOtc","test"
"19Pp9QEw17U","val"
"1ACn3u5UnBw","train"
"1AOe82obwcY","train"
"1ArUx6UCxe4","test"
"1BVSYfNCcv0","train"
"1Ccis4FDGwY","test"
"1DNoynuGLV4","train"
"1FU5odlgLmo","train"
"1FnA3w94zXI","train"
"1FnT0RrfMEA","train"
"1GCOnj53QYM","val"
"1IK4OeOqAEo","train"
"1ILLsA6gqHE","train"
"1IMi7yfZVVM","train"
"1Is1xfDjZrw","train"
"1JpeDWbgUO8","train"
"1JqNiV03kog","train"
"1JwoLPCIGhs","val"
"1KN3GrwhY8c","val"
"1KmsVHx7E2c","train"
"1LA64TXatWk","val"
"1MwaXCfUvX8","train"
"1O4LpU7HggY","test"
"1OIfQHKnAcw","train"
"1PKxdTlquCA","train"
"1PN-bfs2EhY","train"
"1PSzSTilu_s","train"
"1Q9DXhXMSFI","val"
"1QFli7KSXAQ","val"
"1QSD-dzEv7Y","test"
"1RRGInmOhTQ","train"
"1Rd1w7Ty1ak","train"
"1RhYdQnZ_hw","train"
"1RwhRTe-OKk","train"
"1SqihV_DnEg","train"
"1ToIyrmWFjw","train"
"1V7ReAk9k-4","test"
"1VKSpjXZvKo","train"
"1W2Cz2Jj76Q","val"
"1W2FOzSXsxs","val"
"1WlvXneu6oY","val"
"1Xtkou9dtyA","train"
"1ZaxqZMs21M","train"
"1_YHHL_t2GI","train"
"1a_nvi4sW64","train"
"1bSP4wLfMpA","train"
"1cqcTbDxsHM","train"
"1cwGW0cBdRs","train"
"1dt9eL2rmSY","train"
"1gDNqOQFopY","train"
"1h2sb2xeCt8","train"
"1hABzqBHh7w","train"
"1hWAOReJehw","val"
"1heMbyumHAo","train"
"1j13NdQiw8c","train"
"1j3pXUr8R4M","train"
"1j4rFfU5XKQ","test"
"1jATjKL2vAE","val"
"1jptuEjuTig","train"
"1kYDbl5Y9Sg","val"
"1l7BjFDQLUM","train"
"1lgqqW5TsJk","train"
"1ls3ectO1F4","val"
"1mB_cboJR8s","val"
"1nUqhH8bAPk","train"
"1o7iTDLNTFk","train"
"1pR0SgbqP3M","test"
"1rhsnmWLeGw","train"
"1tNkAc29aPE","train"
"1tz4xNRRR4M","test"
"1uHF1-8TcEk","val"
"1xhwyUVSRQk","test"
"1y1lEOGBcWM","test"
"1yGWdegJjA4","val"
"1yWGmdevTuM","train"
"1ypKEH2kd7g","train"
"20QZS9L5WeA","train"
"20Vh6z6Ie0E","train"
"21MgIcLN8Ow","train"
"23xC7lTBikU","test"
"244y56-vLWE","test"
"24cmo2fEQo8","train"
"26HLgXWF-Co","train"
"26IOFykrJrc","train"
"26jTWRMRoxY","train"
"28pkN4m1x6I","train"
"28wBrNjHXOM","train"
"298Q_pSLflU","train"
"2ATMQxWVpXk","train"
"2BBAUwC1BI4","train"
"2BGzxAuetOA","train"
"2CzfBZ1mYBs","train"
